"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","superphylum","phylum","subphylum","class","subclass","order","below_order","suborder","family","below_family","subfamily","tribe","genus","below_genus","subgenus","species_group","species_subgroup","species"
"142877","36853","species","Desulfitobacterium metallireducens","1","131567","2","","1239","","186801","","186802","","","186807","","","","36853","","","","","142877"
"60893","60892","species","Desulfobacca acetoxidans","1","131567","2","","1224","68525","28221","","213462","","","213468","","","","60892","","","","","60893"
"2290","2289","species","Desulfobacter curvatus","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","2289","","","","","2290"
"65380","2289","species","Desulfobacter halotolerans","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","2289","","","","","65380"
"2292","2289","species","Desulfobacter latus","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","2289","","","","","2292"
"2293","2289","species","Desulfobacter postgatei","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","2289","","","","","2293"
"34031","2289","species","Desulfobacter vibrioformis","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","2289","","","","","34031"
"90728","2295","species","Desulfobacterium anilini","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","2295","","","","","90728"
"2296","2295","species","Desulfobacterium autotrophicum","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","2295","","","","","2296"
"90733","2295","species","Desulfobacterium indolicum","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","2295","","","","","90733"
"2298","2295","species","Desulfobacterium vacuolatum","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","2295","","","","","2298"
"90732","28222","species","Desulfobacula phenolica","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","28222","","","","","90732"
"28223","28222","species","Desulfobacula toluolica","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","28222","","","","","28223"
"622671","48001","species","Desulfobotulus alkaliphilus","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","48001","","","","","622671"
"888","48001","species","Desulfobotulus sapovorans","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","48001","","","","","888"
"53332","893","species","Desulfobulbus elongatus","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","893","","","","","53332"
"231447","893","species","Desulfobulbus japonicus","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","893","","","","","231447"
"160661","893","species","Desulfobulbus mediterraneus","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","893","","","","","160661"
"894","893","species","Desulfobulbus propionicus","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","893","","","","","894"
"34032","893","species","Desulfobulbus rhabdoformis","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","893","","","","","34032"
"65555","53318","species","Desulfocapsa sulfexigens","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","53318","","","","","65555"
"53321","53318","species","Desulfocapsa thiozymogenes","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","53318","","","","","53321"
"66835","89342","species","Desulfocella halophila","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","89342","","","","","66835"
"125602","896","species","Desulfococcus biacutus","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","896","","","","","125602"
"897","896","species","Desulfococcus multivorans","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","896","","","","","897"
"399548","700595","species","Desulfocurvus vexinensis","1","131567","2","","1224","68525","28221","","213115","","","194924","","","","700595","","","","","399548"
"247157","109169","species","Desulfofaba fastidiosa","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","109169","","","","","247157"
"84981","109169","species","Desulfofaba gelida","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","109169","","","","","84981"
"157842","109169","species","Desulfofaba hansenii","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","109169","","","","","157842"
"84983","109166","species","Desulfofrigus fragile","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","109166","","","","","84983"
"84982","109166","species","Desulfofrigus oceanense","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","109166","","","","","84982"
"51195","51194","species","Desulfofustis glycolicus","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","51194","","","","","51195"
"361111","361106","species","Desulfoglaeba alkanexedens","1","131567","2","","1224","68525","28221","","213462","","","213465","","","","361106","","","","","361111"
"45663","45662","species","Desulfohalobium retbaense","1","131567","2","","1224","68525","28221","","213115","","","213117","","","","45662","","","","","45663"
"332174","45662","species","Desulfohalobium utahense","1","131567","2","","1224","68525","28221","","213115","","","213117","","","","45662","","","","","332174"
"231438","497721","species","Desulfoluna butyratoxydans","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","497721","","","","","231438"
"419481","419480","species","Desulfoluna spongiiphila","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","419480","","","","","419481"
"52560","898","species","Desulfomicrobium apsheronum","1","131567","2","","1224","68525","28221","","213115","","","213116","","","","898","","","","","52560"
"899","898","species","Desulfomicrobium baculatum","1","131567","2","","1224","68525","28221","","213115","","","213116","","","","898","","","","","899"
"29503","898","species","Desulfomicrobium escambiense","1","131567","2","","1224","68525","28221","","213115","","","213116","","","","898","","","","","29503"
"90731","898","species","Desulfomicrobium macestii","1","131567","2","","1224","68525","28221","","213115","","","213116","","","","898","","","","","90731"
"52561","898","species","Desulfomicrobium norvegicum","1","131567","2","","1224","68525","28221","","213115","","","213116","","","","898","","","","","52561"
"132132","898","species","Desulfomicrobium orale","1","131567","2","","1224","68525","28221","","213115","","","213116","","","","898","","","","","132132"
"380392","898","species","Desulfomicrobium thermophilum","1","131567","2","","1224","68525","28221","","213115","","","213116","","","","898","","","","","380392"
"117208","2357","species","Desulfomonile limimaris","1","131567","2","","1224","68525","28221","","213462","","","213468","","","","2357","","","","","117208"
"2358","2357","species","Desulfomonile tiedjei","1","131567","2","","1224","68525","28221","","213462","","","213468","","","","2357","","","","","2358"
"488938","488937","species","Desulfonatronospira delicata","1","131567","2","","1224","68525","28221","","213115","","","213117","","","","488937","","","","","488938"
"488939","488937","species","Desulfonatronospira thiodismutans","1","131567","2","","1224","68525","28221","","213115","","","213117","","","","488937","","","","","488939"
"53245","53244","species","Desulfonatronovibrio hydrogenovorans","1","131567","2","","1224","68525","28221","","213115","","","213117","","","","53244","","","","","53245"
"292807","66848","species","Desulfonatronum cooperativum","1","131567","2","","1224","68525","28221","","213115","","","224380","","","","66848","","","","","292807"
"66849","66848","species","Desulfonatronum lacustre","1","131567","2","","1224","68525","28221","","213115","","","224380","","","","66848","","","","","66849"
"159290","66848","species","Desulfonatronum thiodismutans","1","131567","2","","1224","68525","28221","","213115","","","224380","","","","66848","","","","","159290"
"564288","206664","species","Desulfonauticus autotrophicus","1","131567","2","","1224","68525","28221","","213115","","","213117","","","","206664","","","","","564288"
"206665","206664","species","Desulfonauticus submarinus","1","131567","2","","1224","68525","28221","","213115","","","213117","","","","206664","","","","","206665"
"45657","45654","species","Desulfonema ishimotonii","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","45654","","","","","45657"
"45656","45654","species","Desulfonema limicola","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","45654","","","","","45656"
"45655","45654","species","Desulfonema magnum","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","45654","","","","","45655"
"83661","83660","species","Desulfonispora thiosulfatigenes","1","131567","2","","1239","","186801","","186802","","","186807","","","","83660","","","","","83661"
"231440","429014","species","Desulfopila aestuarii","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","429014","","","","","231440"
"468528","429014","species","Desulfopila inferna","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","429014","","","","","468528"
"153026","153027","species","Desulforegula conservatrix","1","131567","2","","1224","68525","28221","","213118","","","213119","","","","153027","","","","","153026"
"40218","39840","species","Desulforhabdus amnigena","1","131567","2","","1224","68525","28221","","213462","","","213465","","","","39840","","","","","40218"
"91360","40413","species","Desulforhopalus singaporensis","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","40413","","","","","91360"
"40414","40413","species","Desulforhopalus vacuolatus","1","131567","2","","1224","68525","28221","","213118","","","213121","","","","40413","","","","","40414"
