"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Otu005761","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA
"Otu005762","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"Otu005763","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella",NA
"Otu005764","Bacteria","Firmicutes",NA,NA,NA,NA,NA
"Otu005765","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"Otu005766","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Otu005767","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Otu005768","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"Otu005769","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Barnesiella",NA
"Otu005770","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"Otu005771","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA
"Otu005772","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005773","Bacteria","Firmicutes",NA,NA,NA,NA,NA
"Otu005774","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"Otu005775","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"Otu005776","Bacteria",NA,NA,NA,NA,NA,NA
"Otu005777","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"Otu005778","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA
"Otu005779","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005780","Bacteria","Firmicutes",NA,NA,NA,NA,NA
